<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TRUR;D;230508;000000;6.5;6.6;6.5;6.59;126858667
TRUR;D;230510;000000;6.57;6.61;6.56;6.57;163202276
TRUR;D;230511;000000;6.57;6.63;6.56;6.62;157233360
TRUR;D;230512;000000;6.6;6.63;6.58;6.62;146732984
TRUR;D;230515;000000;6.64;6.7;6.64;6.69;210250834
TRUR;D;230516;000000;6.72;6.73;6.71;6.72;109313403
TRUR;D;230517;000000;6.71;6.73;6.66;6.67;153153019
TRUR;D;230518;000000;6.68;6.7;6.64;6.66;136898936
TRUR;D;230519;000000;6.65;6.66;6.62;6.65;144625344
TRUR;D;230522;000000;6.67;6.7;6.67;6.69;146272857
TRUR;D;230523;000000;6.68;6.69;6.64;6.67;139030397
TRUR;D;230524;000000;6.67;6.69;6.66;6.68;160678233
TRUR;D;230525;000000;6.68;6.68;6.65;6.66;112607466
TRUR;D;230526;000000;6.65;6.68;6.65;6.68;98320784
TRUR;D;230529;000000;6.7;6.74;6.69;6.73;151247131
TRUR;D;230530;000000;6.71;6.75;6.7;6.72;136508267
TRUR;D;230531;000000;6.72;6.74;6.71;6.74;127843312
TRUR;D;230601;000000;6.73;6.74;6.73;6.74;73496455
TRUR;D;230602;000000;6.74;6.79;6.73;6.78;154251189
TRUR;D;230605;000000;6.78;6.8;6.75;6.76;227267697
TRUR;D;230606;000000;6.74;6.77;6.71;6.76;160626573
TRUR;D;230607;000000;6.76;6.79;6.75;6.78;120634780
TRUR;D;230608;000000;6.77;6.82;6.77;6.82;161047144
TRUR;D;230609;000000;6.83;6.85;6.82;6.83;161990903
TRUR;D;230613;000000;6.86;6.9;6.84;6.89;281322360
TRUR;D;230614;000000;6.92;6.94;6.88;6.9;237907542
TRUR;D;230615;000000;6.9;6.9;6.84;6.87;184142506
TRUR;D;230616;000000;6.88;6.9;6.88;6.89;123779459
TRUR;D;230619;000000;6.91;6.92;6.88;6.89;299590605
TRUR;D;230620;000000;6.9;6.9;6.86;6.88;186154338
TRUR;D;230621;000000;6.87;6.89;6.86;6.87;103237536
TRUR;D;230622;000000;6.86;6.87;6.84;6.85;118112127
TRUR;D;230623;000000;6.84;6.85;6.8;6.81;132421088
TRUR;D;230626;000000;6.82;6.84;6.81;6.83;183284257
TRUR;D;230627;000000;6.83;6.85;6.82;6.84;164968940
TRUR;D;230628;000000;6.84;6.85;6.83;6.84;85260536
TRUR;D;230629;000000;6.84;6.87;6.84;6.87;98175081
TRUR;D;230630;000000;6.87;6.9;6.86;6.89;124792317
TRUR;D;230703;000000;6.9;6.94;6.9;6.92;201372101
TRUR;D;230704;000000;6.92;6.94;6.9;6.92;140710812
TRUR;D;230705;000000;6.93;6.97;6.93;6.96;222828323
TRUR;D;230706;000000;6.98;7.04;6.96;6.98;255502099
TRUR;D;230707;000000;6.99;7.01;6.98;7;155119141
TRUR;D;230710;000000;7.02;7.05;7;7.02;261222342
TRUR;D;230711;000000;7.03;7.04;7;7.01;152039408
TRUR;D;230712;000000;7.02;7.06;7.02;7.06;126044198
TRUR;D;230713;000000;7.07;7.07;7.02;7.04;121442495
TRUR;D;230714;000000;7.04;7.06;7.02;7.05;157608175
TRUR;D;230717;000000;7.06;7.09;7.06;7.09;205885853
TRUR;D;230718;000000;7.08;7.11;7.08;7.1;168719286
TRUR;D;230719;000000;7.11;7.15;7.11;7.15;157548489
TRUR;D;230720;000000;7.14;7.15;7.09;7.1;263370082
TRUR;D;230721;000000;7.1;7.11;7.06;7.1;423956069
TRUR;D;230724;000000;7.13;7.14;7.09;7.1;226367017
TRUR;D;230725;000000;7.1;7.13;7.1;7.12;246537342
TRUR;D;230726;000000;7.12;7.14;7.11;7.13;215891437
TRUR;D;230727;000000;7.13;7.15;7.13;7.15;220578668
TRUR;D;230728;000000;7.13;7.16;7.13;7.16;197695595
TRUR;D;230731;000000;7.21;7.24;7.19;7.24;325760016
